Nationality,Code
Afghanistan,AFGH
Algeria,ALGR
Angola,ANGL
Argentina,ARG
Australia,ASTL
Azerbaijan,AZR
Bahrain,BAHR
Barbados,BRDO
Belgium,BELG
Benin,BENN
Bolivia,BOL
Botswana,BOT
Brunei,BRNI
Burkina Faso,BURK
Burundi,BRND
Cameroon,CMRN
Cabo Verde,CAVI
Chad,CHAD
China-mainland,CHIN
Colombia,COL
"Congo, Republic of the (Congo Brazzaville)",CONB
Costa Rica,CSTR
Croatia,HRV
Cyprus,CYPR
Denmark,DEN
Dominica,DOMN
Ecuador,ECUA
El Salvador,ELSL
Eritrea,ERI
Eswatini,SZLD
Fiji,FIJI
France,FRAN
"Gambia, The",GAM
Germany,GER
Great Britain and Northern Ireland (United Kingdom),GRBR
Grenada,GREN
Guinea,GNEA
Guyana,GUY
Honduras,HOND
Hong Kong (British National (Overseas) passport),HOKO
Iceland,ICLD
Indonesia,IDSA
Iraq,IRAQ
Israel,ISRL
Jamaica,JAM
Jordan,JORD
Kenya,KENY
"Korea, North",PRK
Kosovo,KSV
Kyrgyzstan,KGZ
Latvia,LATV
Lesotho,LES
Libya,LBYA
Lithuania,LITH
Macau S.A.R.,MAC
Malawi,MALW
Malaysia,MLAS
Mali,MALI
"Marshall Islands, Republic of the",RMI
Mauritius,MRTS
"Micronesia, Federated States of",FSM
Monaco,MON
Montenegro,MTG
Mozambique,MOZ
Nauru,NAU
Netherlands,NETH
Nicaragua,NIC
Norway,NORW
Oman,OMAN
Palestinian Authority Travel Document,PAL
Palau,PALA
Panama,PAN
Paraguay,PARA
Philippines,PHIL
Portugal,PORT
Romania,ROM
Rwanda,RWND
St. Lucia,SLCA
Samoa,WSAM
Sao Tome and Principe,STPR
Senegal,SENG
Seychelles,SEYC
Singapore,SING
Slovenia,SVN
Somalia,SOMA
South Sudan,SSDN
Sri Lanka,SRL
Sudan,SUDA
Sweden,SWDN
Syria,SYR
Tanzania,TAZN
Timor-Leste,TMOR
Tonga,TONG
Tunisia,TNSA
Turkmenistan,TKM
Uganda,UGAN
United Arab Emirates,UAE
Uzbekistan,UZB
Vatican City,VAT
Vietnam,VTNM
Zambia,ZAMB
United Nations Laissez Passer,UNLP
Albania,ALB
Andorra,ANDO
Antigua and Barbuda,ANTI
Armenia,ARM
Austria,AUST
"Bahamas, The",BAMA
Bangladesh,BANG
Belarus,BYS
Belize,BLZ
Bhutan,BHU
Bosnia and Herzegovina,BIH
Brazil,BRZL
Bulgaria,BULG
Burma,BURM
Cambodia,CBDA
Canada,CAN
Central African Republic,CAFR
Chile,CHIL
China-Taiwan,TWAN
Comoros,COMO
"Congo, Democratic Rep. of the (Congo Kinshasa)",COD
Cote d'Ivoire (Ivory Coast),IVCO
Cuba,CUBA
Czech Republic,CZEC
Djibouti,DJI
Dominican Republic,DOMR
Egypt,EGYP
Equatorial Guinea,EGN
Estonia,EST
Ethiopia,ETH
Finland,FIN
Gabon,GABN
Georgia,GEO
Ghana,GHAN
Greece,GRC
Guatemala,GUAT
Guinea‑Bissau,GUIB
Haiti,HAT
Hong Kong (HKSAR passport),HNK
Hungary,HUNG
India,IND
Iran,IRAN
Ireland,IRE
Italy,ITLY
Japan,JPN
Kazakhstan,KAZ
Kiribati,KIRI
"Korea, South",KOR
Kuwait,KUWT
Laos,LAOS
Lebanon,LEBN
Liberia,LIBR
Liechtenstein,LCHT
Luxembourg,LXM
Madagascar,MADG
Maldives,MLDV
Malta,MLTA
Mauritania,MAUR
Mexico,MEX
Moldova,MLD
Mongolia,MONG
Morocco,MORO
Namibia,NAMB
Nepal,NEP
New Zealand,NZLD
Niger,NIR
North Macedonia,MKD
Nigeria,NRA
Pakistan,PKST
Papua New Guinea,PNG
Peru,PERU
Poland,POL
Qatar,QTAR
Russia (Russian Federation),RUS
St. Kitts and Nevis,STCN
St. Vincent and The Grenadines,STVN
San Marino,SMAR
Saudi Arabia,SARB
Serbia,SBA
Sierra Leone,SLEO
Slovakia,SVK
Solomon Islands,SLMN
South Africa,SAFR
Spain,SPN
"Status Neutral Travel Document (issued by government of
  Georgia to residents of Abkhazia and South Ossetia)",SNTD
Suriname,SURM
Switzerland,SWTZ
Tajikistan,TJK
Thailand,THAI
Togo,TOGO
Trinidad and Tobago,TRIN
Turkey,TRKY
Tuvalu,TUV
Ukraine,UKR
Uruguay,URU
Vanuatu,VANU
Venezuela,VENZ
Yemen,YEM
Zimbabwe,ZIMB
No Nationality/None,XXX
